บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ
,ข-ค่าจ้าง OUTSOURCE - ทีมงานขาย,,,,53601703,,,,,,,,,199990000,,,,,"2,816,252.42",,,,,
,ข-ค่าจ้าง OUTSOURCE - ทีมงานขาย,,,,53601703,,,,,,,,,,,,,,"2,816,252.42",,,,,
,ข-ค่าจ้างOUTSOURCE-ต้อนรับ/บริการลูกค้า CAT SHOP,,,,53601704,,,,,,,,,199990000,,,,,"2,711,665.63",,,,,
,ข-ค่าจ้างOUTSOURCE-ต้อนรับ/บริการลูกค้า CAT SHOP,,,,53601704,,,,,,,,,,,,,,"2,711,665.63",,,,,
,ข-ค่าจ้าง OUTSOURCE - CALL CENTER/HELP DESK,,,,53601705,,,,,,,,,199990000,,,,,"2,566,969.04",,,,,
,ข-ค่าจ้าง OUTSOURCE - CALL CENTER/HELP DESK,,,,53601705,,,,,,,,,,,,,,"2,566,969.04",,,,,
09.04.2024,ข-ค่าจ้าง OUTSOURCE-ช่างสำนักงาน,3,,EFAD0604,53601707,,6700000042,31.03.2024,31.03.2024,BA,1C10400,1C10405,1C10405J0101,199990000,,19201,,0,"1,155.25",VX,ปป.ค่าใช้จ่ายAct. J0101  มี.ค. 67,,,
,ข-ค่าจ้าง OUTSOURCE-ช่างสำนักงาน,,,,53601707,,,,,,,,,199990000,,,,,"118,038.25",,,,,
,ข-ค่าจ้าง OUTSOURCE-ช่างสำนักงาน,,,,53601707,,,,,,,,,,,,,,"118,038.25",,,,,
,ข-ค่าจ้าง OUTSOURCE - เฉพาะกิจ,,,,53601709,,,,,,,,,199990000,,,,,"866,253.70",,,,,
,ข-ค่าจ้าง OUTSOURCE - เฉพาะกิจ,,,,53601709,,,,,,,,,,,,,,"866,253.70",,,,,
