บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
,ต-เงินจ่ายสมทบกองทุนบำเหน็จ-พนักงาน,,,,51602101,,,,,,,,,199990000,,,,,"415,247.61",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-เงินจ่ายสมทบกองทุนบำเหน็จ-พนักงาน,,,,51602101,,,,,,,,,,,,,,"415,247.61",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.03.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,3,,HHRM0604,51602102,,8800000036,26.03.2024,26.03.2024,HR,1C10200,1C10208,,,,19303,,,"5,608.90",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.04.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,4,,HHRM0604,51602102,,8800000050,25.04.2024,25.04.2024,HR,1C10200,1C10208,,,,19303,,,"6,596.70",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.03.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,3,,HHRM0604,51602102,,8800000038,26.03.2024,26.03.2024,HR,1C10300,1C10300,,,,19303,,,"11,567.60",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.04.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,4,,HHRM0604,51602102,,8800000050,25.04.2024,25.04.2024,HR,1C10300,1C10300,,,,19303,,,"13,974.40",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.03.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,3,,HHRM0604,51602102,,8800000038,26.03.2024,26.03.2024,HR,1C10300,1C10301,,,,19303,,,"38,085.95",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.04.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,4,,HHRM0604,51602102,,8800000052,25.04.2024,25.04.2024,HR,1C10300,1C10301,,,,19303,,,"46,168.15",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.03.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,3,,HHRM0604,51602102,,8800000038,26.03.2024,26.03.2024,HR,1C10300,1C10302,,,,19303,,,"13,105.35",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.04.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,4,,HHRM0604,51602102,,8800000050,25.04.2024,25.04.2024,HR,1C10300,1C10302,,,,19303,,,"15,278.95",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.03.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,3,,HHRM0604,51602102,,8800000038,26.03.2024,26.03.2024,HR,1C10300,1C10308,,,,19303,,,"25,897.15",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.04.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,4,,HHRM0604,51602102,,8800000051,25.04.2024,25.04.2024,HR,1C10300,1C10308,,,,19303,,,"30,802.35",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.03.2024,ต-เงินจ่ายสมทบกองทุนสำรองเลี้ยงชีพ-พนักงาน,3,,HHRM0604,51602102,,8800000038,26.03.2024,26.03.2024,HR,1D00004,1D00004,,,,19303,,,"64,399.65",,/323-สมทบกองทุนสำรองเลี้ยงชีพ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
