บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
,ต-ค่าน้ำประปา,,,,51661101,,,,,,,,,199990000,,,,,"301,191.13",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าน้ำประปา,,,,51661101,,,,,,,,,,,,,,"301,191.13",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าไฟฟ้า,,,,51661102,,,,,,,,,199990000,,,,,"44,229,086.31",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าไฟฟ้า,,,,51661102,,,,,,,,,,,,,,"44,229,086.31",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าสาธารณูปโภคอื่น,,,,51661199,,,,,,,,,199990000,,,,,"53,650.67",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าสาธารณูปโภคอื่น,,,,51661199,,,,,,,,,,,,,,"53,650.67",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ข-ค่าน้ำประปา,,,,53661101,,,,,,,,,199990000,,,,,"76,410.93",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ข-ค่าน้ำประปา,,,,53661101,,,,,,,,,,,,,,"76,410.93",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ข-ค่าไฟฟ้า,,,,53661102,,,,,,,,,199990000,,,,,"3,283,674.16",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ข-ค่าไฟฟ้า,,,,53661102,,,,,,,,,,,,,,"3,283,674.16",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-ค่าน้ำประปา,,,,54661101,,,,,,,,,199990000,,,,,"419,411.07",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-ค่าน้ำประปา,,,,54661101,,,,,,,,,,,,,,"419,411.07",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-ค่าไฟฟ้า,,,,54661102,,,,,,,,,199990000,,,,,"18,484,339.86",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-ค่าไฟฟ้า,,,,54661102,,,,,,,,,,,,,,"18,484,339.86",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
