บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
,ต-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-ในประเทศ,,,,51603101,,,,,,,,,199990000,,,,,"5,038,549.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-ในประเทศ,,,,51603101,,,,,,,,,,,,,,"5,038,549.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-คชจ.พัฒนา&ฝึกอบรมตามหลักเกณฑ์กม.ภาษี-นอกองค์กร,,,,51603103,,,,,,,,,199990000,,,,,"133,382.46",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-คชจ.พัฒนา&ฝึกอบรมตามหลักเกณฑ์กม.ภาษี-นอกองค์กร,,,,51603103,,,,,,,,,,,,,,"133,382.46",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,,,,51603108,,,,,,,,,199990000,,,,,"70,648.29",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,,,,51603108,,,,,,,,,,,,,,"70,648.29",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ข-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-ในประเทศ,,,,53603101,,,,,,,,,199990000,,,,,"400,000.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ข-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-ในประเทศ,,,,53603101,,,,,,,,,,,,,,"400,000.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ข-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,,,,53603108,,,,,,,,,199990000,,,,,"118,307.66",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ข-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,,,,53603108,,,,,,,,,,,,,,"118,307.66",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-ในประเทศ,,,,54603101,,,,,,,,,199990000,,,,,"50,000.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-ในประเทศ,,,,54603101,,,,,,,,,,,,,,"50,000.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-คชจ.พัฒนา&ฝึกอบรมตามหลักเกณฑ์กม.ภาษี-นอกองค์กร,,,,54603103,,,,,,,,,199990000,,,,,"397,246.14",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-คชจ.พัฒนา&ฝึกอบรมตามหลักเกณฑ์กม.ภาษี-นอกองค์กร,,,,54603103,,,,,,,,,,,,,,"397,246.14",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,,,,54603108,,,,,,,,,199990000,,,,,"31,806.49",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,บ-ค่าใช้จ่ายพัฒนาและฝึกอบรมบุคลากร-นปท.-เดินทาง,,,,54603108,,,,,,,,,,,,,,"31,806.49",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
