บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
07.03.2024,ต-ค่าเช่าที่ดิน,3,,EWLDAD04,51641101,,3300004577,06.03.2024,06.03.2024,KR,1C10300,1C10302,,181040001,,18104,,0,"554,667.13",VX,ขอมอบฉันทะให้ น.ส.วนิดา สะมันยี รับเช็คแทน,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
04.04.2024,ต-ค่าเช่าที่ดิน,3,,EFAD0401,51641101,,6420004561,31.03.2024,31.03.2024,SD,1C10300,1C10302,,181040001,,18104,,0,"642,382.83",,รับรู้ค่าใช้จ่ายประจำงวด,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
05.04.2024,ต-ค่าเช่าที่ดิน,4,,EPAMAD01,51641101,,3300006820,05.04.2024,04.04.2024,KR,1C10300,1C10302,,181040001,,18104,,0,"535,642.76",VX,มอบให้ น.ส.วนิดา สะมันยี เป็นผู้รับเช็ค,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าเช่าที่ดิน,,,,51641101,,,,,,,,,181040001,,,,,"1,732,692.72",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าเช่าที่ดิน,,,,51641101,,,,,,,,,199990000,,,,,"-43,576,669.78",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าเช่าที่ดิน,,,,51641101,,,,,,,,,,,,,,"-41,843,977.06",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าเช่าที่ดินตัดจ่าย,,,,51641102,,,,,,,,,199990000,,,,,"1,083,398.06",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าเช่าที่ดินตัดจ่าย,,,,51641102,,,,,,,,,,,,,,"1,083,398.06",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
04.04.2024,ต-ค่าเช่าอาคารสถานที่,3,,EFAD0401,51641103,6300000192,6200000247,01.03.2024,22.02.2024,SB,2R20102,2R20102,,102010407,,10201,,375,-882,,ปป.คชจ.15ม.ค.67-ก.พ.67,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
05.04.2024,ต-ค่าเช่าอาคารสถานที่,3,,EFAD0401,51641103,,6420004742,31.03.2024,31.03.2024,SD,2R20102,2R20102,,102010407,,10201,,375,84.32,,รับรู้ค่าใช้จ่ายประจำงวด,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
19.04.2024,ต-ค่าเช่าอาคารสถานที่,4,,EFAD0402,51641103,6200000247,6300000192,01.04.2024,22.02.2024,SZ,2R20102,2R20102,,102010407,,10201,,375,882,,ปป.คชจ.15ม.ค.67-ก.พ.67,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าเช่าอาคารสถานที่,,,,51641103,,,,,,,,,102010407,,,,,84.32,,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
,ต-ค่าเช่าอาคารสถานที่,,,,51641103,,,,,,,,,199990000,,,,,"-336,860.43",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
